Admin 1 PCode,Admin 1 Name,Admin 2 PCode,Admin 2 Name,Valid Location,Sector,Category,Population,In Need,Targeted,Affected,Reached
#adm1+code,#adm1+name,#adm2+code,#adm2+name,#meta+valid_location,#sector+code,#category,#population,#inneed,#targeted,#affected,#reached
SS01,,SS0105,Terekeka,Y,PRO,Children - Female - Refugees,,18243,7717,,
SS01,,SS0105,Terekeka,Y,PRO,Children - Female - Returnees,,3190,1194,,
SS01,,SS0105,Terekeka,Y,PRO,Children - Male - Host Communities,,21283,7165,,
SS01,,SS0105,Terekeka,Y,PRO,Children - Male - IDP,,6585,468,,
SS01,,SS0105,Terekeka,Y,PRO,Children - Male - Refugees,,8564,598,,
SS01,,SS0105,Terekeka,Y,PRO,Children - Male - Returnees,,19514,7406,,
SS01,,SS0105,Terekeka,Y,PRO,Elderly - Female - Host Communities,,312,232,,
SS01,,SS0105,Terekeka,Y,PRO,Elderly - Female - IDP,,1019,1025,,
SS01,,SS0105,Terekeka,Y,PRO,Elderly - Female - Refugees,,2156,2566,,
SS01,,SS0105,Terekeka,Y,PRO,Elderly - Female - Returnees,,240,273,,
SS01,,SS0105,Terekeka,Y,PRO,Elderly - Male - Host Communities,,1389,1030,,
SS01,,SS0105,Terekeka,Y,PRO,Elderly - Male - IDP,,549,99,,
SS01,,SS0105,Terekeka,Y,PRO,Elderly - Male - Refugees,,715,119,,
SS01,,SS0105,Terekeka,Y,PRO,Elderly - Male - Returnees,,1437,1800,,
SS01,,SS0105,Terekeka,Y,PRO,total,,106406,41312,,
SS01,,SS0105,Terekeka,Y,PRO_CPM,Adult - Female - Host Communities,,64,6,,
SS01,,SS0105,Terekeka,Y,PRO_CPM,Adult - Female - IDP,,209,21,,
SS01,,SS0105,Terekeka,Y,PRO_CPM,Adult - Female - Refugees,,232,23,,
SS01,,SS0105,Terekeka,Y,PRO_CPM,Adult - Female - Returnees,,35,3,,
SS01,,SS0105,Terekeka,Y,PRO_CPM,Adult - Male - Host Communities,,176,40,,
SS01,,SS0105,Terekeka,Y,PRO_CPM,Adult - Male - IDP,,113,29,,
SS01,,SS0105,Terekeka,Y,PRO_CPM,Adult - Male - Refugees,,147,35,,
SS01,,SS0105,Terekeka,Y,PRO_CPM,Adult - Male - Returnees,,227,49,,
SS01,,SS0105,Terekeka,Y,PRO_CPM,Children - Female - Host Communities,,2848,285,,
SS01,,SS0105,Terekeka,Y,PRO_CPM,Children - Female - IDP,,9316,997,,
SS01,,SS0105,Terekeka,Y,PRO_CPM,Children - Female - Refugees,,10333,1098,,
SS01,,SS0105,Terekeka,Y,PRO_CPM,Children - Female - Returnees,,1553,155,,
SS01,,SS0105,Terekeka,Y,PRO_CPM,Children - Male - Host Communities,,7816,865,,
SS01,,SS0105,Terekeka,Y,PRO_CPM,Children - Male - IDP,,5022,568,,
SS01,,SS0105,Terekeka,Y,PRO_CPM,Children - Male - Refugees,,6532,728,,
SS01,,SS0105,Terekeka,Y,PRO_CPM,Children - Male - Returnees,,10119,1109,,
SS01,,SS0105,Terekeka,Y,PRO_CPM,Elderly - Female - Host Communities,,297,30,,
SS01,,SS0105,Terekeka,Y,PRO_CPM,Elderly - Female - IDP,,971,97,,
SS01,,SS0105,Terekeka,Y,PRO_CPM,Elderly - Female - Refugees,,1077,108,,
SS01,,SS0105,Terekeka,Y,PRO_CPM,Elderly - Female - Returnees,,162,16,,
SS01,,SS0105,Terekeka,Y,PRO_CPM,Elderly - Male - Host Communities,,814,153,,
SS01,,SS0105,Terekeka,Y,PRO_CPM,Elderly - Male - IDP,,523,109,,
SS01,,SS0105,Terekeka,Y,PRO_CPM,Elderly - Male - Refugees,,681,133,,
SS01,,SS0105,Terekeka,Y,PRO_CPM,Elderly - Male - Returnees,,1054,189,,
SS01,,SS0105,Terekeka,Y,PRO_CPM,total,,60318,6848,,
SS01,,SS0105,Terekeka,Y,PRO_GBV,Adult - Male - IDP,,26,16,,
SS01,,SS0105,Terekeka,Y,PRO_GBV,Adult - Male - Refugees,,64,39,,
SS01,,SS0105,Terekeka,Y,PRO_GBV,Children - Female - Host Communities,,456,261,,
SS01,,SS0105,Terekeka,Y,PRO_GBV,Children - Female - IDP,,607,37,,
SS01,,SS0105,Terekeka,Y,PRO_GBV,Children - Female - Refugees,,1518,91,,
SS01,,SS0105,Terekeka,Y,PRO_GBV,Children - Female - Returnees,,1369,963,,
SS01,,SS0105,Terekeka,Y,PRO_GBV,Children - Male - Host Communities,,2429,169,,
SS01,,SS0105,Terekeka,Y,PRO_GBV,Children - Male - IDP,,3037,183,,
SS01,,SS0105,Terekeka,Y,PRO_GBV,Children - Male - Refugees,,9110,674,,
SS01,,SS0105,Terekeka,Y,PRO_GBV,Children - Male - Returnees,,13665,1171,,
SS01,,SS0105,Terekeka,Y,PRO_GBV,Elderly - Female - Host Communities,,103,72,,
SS01,,SS0105,Terekeka,Y,PRO_GBV,Elderly - Female - IDP,,128,78,,
SS01,,SS0105,Terekeka,Y,PRO_GBV,Elderly - Female - Refugees,,385,289,,
SS01,,SS0105,Terekeka,Y,PRO_GBV,Elderly - Female - Returnees,,577,502,,
SS01,,SS0105,Terekeka,Y,PRO_GBV,Elderly - Male - Host Communities,,91,52,,
SS01,,SS0105,Terekeka,Y,PRO_GBV,Elderly - Male - IDP,,365,241,,
SS01,,SS0105,Terekeka,Y,PRO_GBV,Elderly - Male - Refugees,,2053,1672,,
SS01,,SS0105,Terekeka,Y,PRO_GBV,Elderly - Male - Returnees,,228,130,,
SS01,,SS0105,Terekeka,Y,PRO_GBV,total,,36212,6638,,
SS01,,SS0105,Terekeka,Y,PRO_HLP,Adult - Female - Host Communities,,54,19,,
SS01,,SS0105,Terekeka,Y,PRO_HLP,Adult - Female - IDP,,176,62,,
SS01,,SS0105,Terekeka,Y,PRO_HLP,Adult - Female - Refugees,,195,68,,
SS01,,SS0105,Terekeka,Y,PRO_HLP,Adult - Female - Returnees,,29,10,,
SS01,,SS0105,Terekeka,Y,PRO_HLP,Children - Female - Host Communities,,2396,53,,
SS01,,SS0105,Terekeka,Y,PRO_HLP,Children - Female - IDP,,7835,172,,
SS01,,SS0105,Terekeka,Y,PRO_HLP,Children - Female - Refugees,,8691,191,,
SS01,,SS0105,Terekeka,Y,PRO_HLP,Children - Female - Returnees,,1306,29,,
SS01,,SS0105,Terekeka,Y,PRO_HLP,Elderly - Female - Host Communities,,188,43,,
SS01,,SS0105,Terekeka,Y,PRO_HLP,Elderly - Female - IDP,,614,141,,
SS01,,SS0105,Terekeka,Y,PRO_HLP,Elderly - Female - Refugees,,681,157,,
SS01,,SS0105,Terekeka,Y,PRO_HLP,Elderly - Female - Returnees,,102,24,,
SS01,,SS0105,Terekeka,Y,PRO_HLP,total,,22266,968,,
SS01,,SS0105,Terekeka,Y,PRO_MIN,Adult - Female - Host Communities,,26,8,,
SS01,,SS0105,Terekeka,Y,PRO_MIN,Adult - Female - IDP,,272,82,,
SS01,,SS0105,Terekeka,Y,PRO_MIN,Adult - Female - Refugees,,325,98,,
SS01,,SS0105,Terekeka,Y,PRO_MIN,Adult - Female - Returnees,,57,17,,
SS01,,SS0105,Terekeka,Y,PRO_MIN,Adult - Male - Host Communities,,379,114,,
SS01,,SS0105,Terekeka,Y,PRO_MIN,Adult - Male - Returnees,,348,104,,
SS01,,SS0105,Terekeka,Y,PRO_MIN,Children - Female - Host Communities,,1399,420,,
SS01,,SS0105,Terekeka,Y,PRO_MIN,Children - Female - IDP,,14546,4364,,
SS01,,SS0105,Terekeka,Y,PRO_MIN,Children - Female - Refugees,,17374,5212,,
SS01,,SS0105,Terekeka,Y,PRO_MIN,Children - Female - Returnees,,3039,912,,
SS01,,SS0105,Terekeka,Y,PRO_MIN,Children - Male - Host Communities,,20270,6081,,
SS01,,SS0105,Terekeka,Y,PRO_MIN,Children - Male - Returnees,,18585,5575,,
SS01,,SS0105,Terekeka,Y,PRO_MIN,Elderly - Female - Host Communities,,91,27,,
SS01,,SS0105,Terekeka,Y,PRO_MIN,Elderly - Female - IDP,,949,285,,
SS01,,SS0105,Terekeka,Y,PRO_MIN,Elderly - Female - Refugees,,1134,340,,
SS01,,SS0105,Terekeka,Y,PRO_MIN,Elderly - Female - Returnees,,198,59,,
SS01,,SS0105,Terekeka,Y,PRO_MIN,Elderly - Male - Host Communities,,1323,397,,
SS01,,SS0105,Terekeka,Y,PRO_MIN,Elderly - Male - Returnees,,1213,364,,
SS01,,SS0105,Terekeka,Y,PRO_MIN,total,,81528,24458,,
SS01,,SS0105,Terekeka,Y,SHL,Adult - Female - Host Communities,,129,84,,
SS01,,SS0105,Terekeka,Y,SHL,Adult - Female - IDP,,422,274,,
SS01,,SS0105,Terekeka,Y,SHL,Adult - Female - Refugees,,468,304,,
SS01,,SS0105,Terekeka,Y,SHL,Adult - Female - Returnees,,70,46,,
SS01,,SS0105,Terekeka,Y,SHL,Adult - Male - Host Communities,,354,230,,
SS01,,SS0105,Terekeka,Y,SHL,Adult - Male - IDP,,227,148,,
SS01,,SS0105,Terekeka,Y,SHL,Adult - Male - Refugees,,296,192,,
SS01,,SS0105,Terekeka,Y,SHL,Adult - Male - Returnees,,458,298,,
SS01,,SS0105,Terekeka,Y,SHL,Children - Female - Host Communities,,280,182,,
SS01,,SS0105,Terekeka,Y,SHL,Children - Female - IDP,,917,596,,
SS01,,SS0105,Terekeka,Y,SHL,Children - Female - Refugees,,1017,661,,
SS01,,SS0105,Terekeka,Y,SHL,Children - Female - Returnees,,153,99,,
SS01,,SS0105,Terekeka,Y,SHL,Children - Male - Host Communities,,769,500,,
SS01,,SS0105,Terekeka,Y,SHL,Children - Male - IDP,,494,321,,
SS01,,SS0105,Terekeka,Y,SHL,Children - Male - Refugees,,643,418,,
SS01,,SS0105,Terekeka,Y,SHL,Children - Male - Returnees,,996,647,,
SS01,,SS0105,Terekeka,Y,SHL,Elderly - Female - Host Communities,,239,155,,
SS01,,SS0105,Terekeka,Y,SHL,Elderly - Female - IDP,,782,508,,
SS01,,SS0105,Terekeka,Y,SHL,Elderly - Female - Refugees,,867,564,,
SS01,,SS0105,Terekeka,Y,SHL,Elderly - Female - Returnees,,130,85,,
SS01,,SS0105,Terekeka,Y,SHL,Elderly - Male - Host Communities,,656,426,,
SS01,,SS0105,Terekeka,Y,SHL,Elderly - Male - IDP,,421,274,,
SS01,,SS0105,Terekeka,Y,SHL,Elderly - Male - Refugees,,548,356,,
SS01,,SS0105,Terekeka,Y,SHL,Elderly - Male - Returnees,,849,552,,
SS01,,SS0105,Terekeka,Y,SHL,total,,12184,7920,,
SS01,,SS0105,Terekeka,Y,WSH,Adult - Female,,17152,3430,,
SS01,,SS0105,Terekeka,Y,WSH,Adult - Male,,22204,4441,,
SS01,,SS0105,Terekeka,Y,WSH,Children,,6250,1250,,
SS01,,SS0105,Terekeka,Y,WSH,Children - Female,,14333,2867,,
SS01,,SS0105,Terekeka,Y,WSH,Children - Male,,11020,2204,,
SS01,,SS0105,Terekeka,Y,WSH,Elderly,,3407,681,,
SS01,,SS0105,Terekeka,Y,WSH,Elderly - Female,,22674,4535,,
SS01,,SS0105,Terekeka,Y,WSH,Elderly - Male,,20442,4088,,
SS01,,SS0105,Terekeka,Y,WSH,total,,117482,23496,,
SS01,,SS0106,Yei,Y,ALL,total,,119028,77179,,
SS01,,SS0106,Yei,Y,CCM,Adult - Female - IDP,,2553,4652,,
SS01,,SS0106,Yei,Y,CCM,Adult - Male - IDP,,1857,3383,,
SS01,,SS0106,Yei,Y,CCM,Children - Female - IDP,,3143,5725,,
SS01,,SS0106,Yei,Y,CCM,Children - Male - IDP,,3396,6187,,
SS01,,SS0106,Yei,Y,CCM,Elderly - Female - IDP,,447,814,,
SS01,,SS0106,Yei,Y,CCM,Elderly - Male - IDP,,210,383,,
SS01,,SS0106,Yei,Y,CCM,total,,11605,21144,,
SS01,,SS0106,Yei,Y,EDU,Female,,11364,4180,,
SS01,,SS0106,Yei,Y,EDU,Male,,10077,3706,,
SS01,,SS0106,Yei,Y,EDU,total,,21441,7886,,
SS01,,SS0106,Yei,Y,FSC,Adult - Female,,2109,1002,,
SS01,,SS0106,Yei,Y,FSC,Adult - Male,,3870,1838,,
SS01,,SS0106,Yei,Y,FSC,Children - Female,,22621,10745,,
SS01,,SS0106,Yei,Y,FSC,Children - Male,,17442,8285,,
SS01,,SS0106,Yei,Y,FSC,Elderly - Female,,14038,6668,,
SS01,,SS0106,Yei,Y,FSC,Elderly - Male,,12656,6012,,
SS01,,SS0106,Yei,Y,FSC,total,,72736,34550,,
SS01,,SS0106,Yei,Y,HEA,Adult - Female - Host Communities,,414,,,
SS01,,SS0106,Yei,Y,HEA,Adult - Female - IDP,,3656,3656,,
SS01,,SS0106,Yei,Y,HEA,Adult - Female - Refugees,,5027,,,
SS01,,SS0106,Yei,Y,HEA,Adult - Female - Returnees,,880,,,
SS01,,SS0106,Yei,Y,HEA,Adult - Male - Host Communities,,4318,,,
SS01,,SS0106,Yei,Y,HEA,Adult - Male - IDP,,2367,,,
SS01,,SS0106,Yei,Y,HEA,Adult - Male - Refugees,,2235,,,
SS01,,SS0106,Yei,Y,HEA,Adult - Male - Returnees,,3953,,,
SS01,,SS0106,Yei,Y,HEA,Children - Female - Host Communities,,581,581,,
SS01,,SS0106,Yei,Y,HEA,Children - Female - IDP,,5140,5140,,
SS01,,SS0106,Yei,Y,HEA,Children - Female - Refugees,,7068,,,
SS01,,SS0106,Yei,Y,HEA,Children - Female - Returnees,,1237,,,
SS01,,SS0106,Yei,Y,HEA,Children - Male - Host Communities,,6072,,,
SS01,,SS0106,Yei,Y,HEA,Children - Male - IDP,,3328,,,
SS01,,SS0106,Yei,Y,HEA,Children - Male - Refugees,,3142,,,
SS01,,SS0106,Yei,Y,HEA,Children - Male - Returnees,,5558,,,
SS01,,SS0106,Yei,Y,HEA,Elderly - Female - Host Communities,,498,,,
SS01,,SS0106,Yei,Y,HEA,Elderly - Female - IDP,,4406,4406,,
SS01,,SS0106,Yei,Y,HEA,Elderly - Female - Refugees,,6059,6059,,
SS01,,SS0106,Yei,Y,HEA,Elderly - Female - Returnees,,1060,1060,,
SS01,,SS0106,Yei,Y,HEA,Elderly - Male - Host Communities,,5205,,,
SS01,,SS0106,Yei,Y,HEA,Elderly - Male - IDP,,2853,,,
SS01,,SS0106,Yei,Y,HEA,Elderly - Male - Returnees,,4764,,,
SS01,,SS0106,Yei,Y,HEA,total,,82513,,,
SS01,,SS0106,Yei,Y,MS,total,,,15077,,
SS01,,SS0106,Yei,Y,NUT,Children - Female - IDP,,8016,5611,,
SS01,,SS0106,Yei,Y,NUT,Children - Male - IDP,,15038,11119,,
SS01,,SS0106,Yei,Y,NUT,Children - Male - Refugees,,15652,11573,,
SS01,,SS0106,Yei,Y,NUT,total,,38706,28302,,
SS01,,SS0106,Yei,Y,PRO,Adult - Female - Host Communities,,574,435,,
SS01,,SS0106,Yei,Y,PRO,Adult - Female - IDP,,1879,2780,,
SS01,,SS0106,Yei,Y,PRO,Adult - Female - Refugees,,2583,4038,,
SS01,,SS0106,Yei,Y,PRO,Adult - Female - Returnees,,452,645,,
SS01,,SS0106,Yei,Y,PRO,Adult - Male - Host Communities,,2589,2810,,
SS01,,SS0106,Yei,Y,PRO,Adult - Male - IDP,,994,232,,
SS01,,SS0106,Yei,Y,PRO,Adult - Male - Refugees,,939,224,,
SS01,,SS0106,Yei,Y,PRO,Adult - Male - Returnees,,3357,3091,,
SS01,,SS0106,Yei,Y,PRO,Children - Female - Host Communities,,1795,564,,
SS01,,SS0106,Yei,Y,PRO,Children - Female - IDP,,5869,2152,,
SS01,,SS0106,Yei,Y,PRO,Children - Female - Refugees,,6510,2668,,
SS01,,SS0106,Yei,Y,PRO,Children - Female - Returnees,,989,390,,
SS01,,SS0106,Yei,Y,PRO,Children - Male - Host Communities,,8089,2741,,
SS01,,SS0106,Yei,Y,PRO,Children - Male - IDP,,2330,180,,
SS01,,SS0106,Yei,Y,PRO,Children - Male - Refugees,,2199,171,,
SS01,,SS0106,Yei,Y,PRO,Children - Male - Returnees,,10491,3487,,
SS01,,SS0106,Yei,Y,PRO,Elderly - Female - Host Communities,,1538,761,,
SS01,,SS0106,Yei,Y,PRO,Elderly - Female - IDP,,5032,4158,,
SS01,,SS0106,Yei,Y,PRO,Elderly - Female - Refugees,,6920,6085,,
SS01,,SS0106,Yei,Y,PRO,Elderly - Female - Returnees,,1211,934,,
SS01,,SS0106,Yei,Y,PRO,Elderly - Male - Host Communities,,6934,4403,,
SS01,,SS0106,Yei,Y,PRO,Elderly - Male - IDP,,2929,598,,
SS01,,SS0106,Yei,Y,PRO,Elderly - Male - Refugees,,2765,575,,
SS01,,SS0106,Yei,Y,PRO,Elderly - Male - Returnees,,8993,5209,,
SS01,,SS0106,Yei,Y,PRO,total,,87962,49330,,
SS01,,SS0106,Yei,Y,PRO_CPM,Adult - Female - Host Communities,,135,13,,
SS01,,SS0106,Yei,Y,PRO_CPM,Adult - Female - IDP,,1189,119,,
SS01,,SS0106,Yei,Y,PRO_CPM,Adult - Female - Refugees,,1635,164,,
SS01,,SS0106,Yei,Y,PRO_CPM,Adult - Female - Returnees,,286,29,,
SS01,,SS0106,Yei,Y,PRO_CPM,Adult - Male - Host Communities,,1405,350,,
SS01,,SS0106,Yei,Y,PRO_CPM,Adult - Male - IDP,,770,226,,
SS01,,SS0106,Yei,Y,PRO_CPM,Adult - Male - Refugees,,727,218,,
SS01,,SS0106,Yei,Y,PRO_CPM,Adult - Male - Returnees,,1286,327,,
SS01,,SS0106,Yei,Y,PRO_CPM,Children - Female - Host Communities,,336,34,,
SS01,,SS0106,Yei,Y,PRO_CPM,Children - Female - IDP,,2973,353,,
SS01,,SS0106,Yei,Y,PRO_CPM,Children - Female - Refugees,,4088,465,,
SS01,,SS0106,Yei,Y,PRO_CPM,Children - Female - Returnees,,715,72,,
SS01,,SS0106,Yei,Y,PRO_CPM,Children - Male - Host Communities,,3512,388,,
SS01,,SS0106,Yei,Y,PRO_CPM,Children - Male - IDP,,1925,218,,
SS01,,SS0106,Yei,Y,PRO_CPM,Children - Male - Refugees,,1817,207,,
SS01,,SS0106,Yei,Y,PRO_CPM,Children - Male - Returnees,,3215,356,,
SS01,,SS0106,Yei,Y,PRO_CPM,Elderly - Female - Host Communities,,487,49,,
SS01,,SS0106,Yei,Y,PRO_CPM,Elderly - Female - IDP,,4309,431,,
SS01,,SS0106,Yei,Y,PRO_CPM,Elderly - Female - Refugees,,5924,592,,
SS01,,SS0106,Yei,Y,PRO_CPM,Elderly - Female - Returnees,,1037,104,,
SS01,,SS0106,Yei,Y,PRO_CPM,Elderly - Male - Host Communities,,5089,1034,,
SS01,,SS0106,Yei,Y,PRO_CPM,Elderly - Male - IDP,,2790,653,,
SS01,,SS0106,Yei,Y,PRO_CPM,Elderly - Male - Refugees,,2634,628,,
SS01,,SS0106,Yei,Y,PRO_CPM,Elderly - Male - Returnees,,4659,963,,
SS01,,SS0106,Yei,Y,PRO_CPM,total,,52944,7990,,
SS01,,SS0106,Yei,Y,PRO_GBV,Adult - Male - IDP,,57,13,,
SS01,,SS0106,Yei,Y,PRO_GBV,Adult - Male - Refugees,,143,33,,
SS01,,SS0106,Yei,Y,PRO_GBV,Children - Female - Host Communities,,753,146,,
SS01,,SS0106,Yei,Y,PRO_GBV,Children - Female - IDP,,134,7,,
SS01,,SS0106,Yei,Y,PRO_GBV,Children - Female - Refugees,,334,17,,
SS01,,SS0106,Yei,Y,PRO_GBV,Children - Female - Returnees,,2258,540,,
SS01,,SS0106,Yei,Y,PRO_GBV,Children - Male - Host Communities,,535,32,,
SS01,,SS0106,Yei,Y,PRO_GBV,Children - Male - IDP,,669,34,,
SS01,,SS0106,Yei,Y,PRO_GBV,Children - Male - Refugees,,2007,126,,
SS01,,SS0106,Yei,Y,PRO_GBV,Children - Male - Returnees,,3010,219,,
SS01,,SS0106,Yei,Y,PRO_GBV,Elderly - Female - Host Communities,,229,61,,
SS01,,SS0106,Yei,Y,PRO_GBV,Elderly - Female - IDP,,286,66,,
SS01,,SS0106,Yei,Y,PRO_GBV,Elderly - Female - Refugees,,857,243,,
SS01,,SS0106,Yei,Y,PRO_GBV,Elderly - Female - Returnees,,1286,422,,
SS01,,SS0106,Yei,Y,PRO_GBV,Elderly - Male - Host Communities,,151,29,,
SS01,,SS0106,Yei,Y,PRO_GBV,Elderly - Male - IDP,,602,135,,
SS01,,SS0106,Yei,Y,PRO_GBV,Elderly - Male - Refugees,,3388,937,,
SS01,,SS0106,Yei,Y,PRO_GBV,Elderly - Male - Returnees,,376,73,,
SS01,,SS0106,Yei,Y,PRO_GBV,total,,17074,3130,,
SS01,,SS0106,Yei,Y,PRO_HLP,Adult - Female - Host Communities,,202,71,,
SS01,,SS0106,Yei,Y,PRO_HLP,Adult - Female - IDP,,1789,626,,
SS01,,SS0106,Yei,Y,PRO_HLP,Adult - Female - Refugees,,2460,861,,
SS01,,SS0106,Yei,Y,PRO_HLP,Adult - Female - Returnees,,431,151,,
SS01,,SS0106,Yei,Y,PRO_HLP,Children - Female - Host Communities,,443,10,,
SS01,,SS0106,Yei,Y,PRO_HLP,Children - Female - IDP,,3914,86,,
SS01,,SS0106,Yei,Y,PRO_HLP,Children - Female - Refugees,,5381,118,,
SS01,,SS0106,Yei,Y,PRO_HLP,Children - Female - Returnees,,942,21,,
SS01,,SS0106,Yei,Y,PRO_HLP,Elderly - Female - Host Communities,,542,125,,
SS01,,SS0106,Yei,Y,PRO_HLP,Elderly - Female - IDP,,4793,1102,,
SS01,,SS0106,Yei,Y,PRO_HLP,Elderly - Female - Refugees,,6590,1516,,
SS01,,SS0106,Yei,Y,PRO_HLP,Elderly - Female - Returnees,,1153,265,,
SS01,,SS0106,Yei,Y,PRO_HLP,total,,28640,4952,,
SS01,,SS0106,Yei,Y,PRO_MIN,Adult - Female - Host Communities,,547,164,,
SS01,,SS0106,Yei,Y,PRO_MIN,Adult - Female - IDP,,1789,537,,
SS01,,SS0106,Yei,Y,PRO_MIN,Adult - Female - Refugees,,1984,595,,
SS01,,SS0106,Yei,Y,PRO_MIN,Adult - Female - Returnees,,298,89,,
SS01,,SS0106,Yei,Y,PRO_MIN,Adult - Male - Host Communities,,2466,740,,
SS01,,SS0106,Yei,Y,PRO_MIN,Adult - Male - Returnees,,3198,959,,
SS01,,SS0106,Yei,Y,PRO_MIN,Children - Female - Host Communities,,1709,513,,
SS01,,SS0106,Yei,Y,PRO_MIN,Children - Female - IDP,,5590,1677,,
SS01,,SS0106,Yei,Y,PRO_MIN,Children - Female - Refugees,,6200,1860,,
SS01,,SS0106,Yei,Y,PRO_MIN,Children - Female - Returnees,,932,279,,
SS01,,SS0106,Yei,Y,PRO_MIN,Children - Male - Host Communities,,7704,2311,,
SS01,,SS0106,Yei,Y,PRO_MIN,Children - Male - Returnees,,9991,2997,,
SS01,,SS0106,Yei,Y,PRO_MIN,Elderly - Female - Host Communities,,1465,440,,
SS01,,SS0106,Yei,Y,PRO_MIN,Elderly - Female - IDP,,4792,1438,,
SS01,,SS0106,Yei,Y,PRO_MIN,Elderly - Female - Refugees,,5315,1595,,
SS01,,SS0106,Yei,Y,PRO_MIN,Elderly - Female - Returnees,,799,240,,
SS01,,SS0106,Yei,Y,PRO_MIN,Elderly - Male - Host Communities,,6604,1981,,
SS01,,SS0106,Yei,Y,PRO_MIN,Elderly - Male - Returnees,,8565,2569,,
SS01,,SS0106,Yei,Y,PRO_MIN,total,,69946,20984,,
SS01,,SS0106,Yei,Y,SHL,Adult - Female - Host Communities,,196,127,,
SS01,,SS0106,Yei,Y,SHL,Adult - Female - IDP,,1732,1126,,
SS01,,SS0106,Yei,Y,SHL,Adult - Female - Refugees,,2382,1548,,
SS01,,SS0106,Yei,Y,SHL,Adult - Female - Returnees,,417,271,,
SS01,,SS0106,Yei,Y,SHL,Adult - Male - Host Communities,,2046,1330,,
SS01,,SS0106,Yei,Y,SHL,Adult - Male - IDP,,1122,729,,
SS01,,SS0106,Yei,Y,SHL,Adult - Male - Refugees,,1059,688,,
SS01,,SS0106,Yei,Y,SHL,Adult - Male - Returnees,,1873,1217,,
SS01,,SS0106,Yei,Y,SHL,Children - Female - Host Communities,,42,27,,
SS01,,SS0106,Yei,Y,SHL,Children - Female - IDP,,368,239,,
SS01,,SS0106,Yei,Y,SHL,Children - Female - Refugees,,506,329,,
SS01,,SS0106,Yei,Y,SHL,Children - Female - Returnees,,89,58,,
SS01,,SS0106,Yei,Y,SHL,Children - Male - Host Communities,,435,283,,
SS01,,SS0106,Yei,Y,SHL,Children - Male - IDP,,238,155,,
SS01,,SS0106,Yei,Y,SHL,Children - Male - Refugees,,225,146,,
SS01,,SS0106,Yei,Y,SHL,Children - Male - Returnees,,398,259,,
SS01,,SS0106,Yei,Y,SHL,Elderly - Female - Host Communities,,377,245,,
SS01,,SS0106,Yei,Y,SHL,Elderly - Female - IDP,,3335,2168,,
SS01,,SS0106,Yei,Y,SHL,Elderly - Female - Refugees,,4585,2980,,
SS01,,SS0106,Yei,Y,SHL,Elderly - Female - Returnees,,802,522,,
SS01,,SS0106,Yei,Y,SHL,Elderly - Male - Host Communities,,3939,2560,,
SS01,,SS0106,Yei,Y,SHL,Elderly - Male - IDP,,2159,1403,,
SS01,,SS0106,Yei,Y,SHL,Elderly - Male - Refugees,,2038,1325,,
SS01,,SS0106,Yei,Y,SHL,Elderly - Male - Returnees,,3606,2344,,
SS01,,SS0106,Yei,Y,SHL,total,,33967,22078,,
SS01,,SS0106,Yei,Y,WSH,Adult - Female,,21310,11523,,
SS01,,SS0106,Yei,Y,WSH,Adult - Male,,19506,10547,,
SS01,,SS0106,Yei,Y,WSH,Children,,2041,1104,,
SS01,,SS0106,Yei,Y,WSH,Children - Female,,11027,5963,,
SS01,,SS0106,Yei,Y,WSH,Children - Male,,11681,6316,,
SS01,,SS0106,Yei,Y,WSH,Elderly,,4341,2347,,
SS01,,SS0106,Yei,Y,WSH,Elderly - Female,,24806,13413,,
SS01,,SS0106,Yei,Y,WSH,Elderly - Male,,18041,9755,,
SS01,,SS0106,Yei,Y,WSH,total,,112754,60968,,
SS02,,SS0201,Budi,Y,ALL,total,,55969,35422,,
SS02,,SS0201,Budi,Y,CCM,Adult - Female - IDP,,113,,,
SS02,,SS0201,Budi,Y,CCM,Adult - Male - IDP,,89,,,
SS02,,SS0201,Budi,Y,CCM,Children - Female - IDP,,136,,,
SS02,,SS0201,Budi,Y,CCM,Children - Male - IDP,,142,,,
SS02,,SS0201,Budi,Y,CCM,Elderly - Female - IDP,,25,,,
SS02,,SS0201,Budi,Y,CCM,Elderly - Male - IDP,,14,,,
SS02,,SS0201,Budi,Y,CCM,total,,520,,,
SS02,,SS0201,Budi,Y,EDU,Female,,4817,1772,,
SS02,,SS0201,Budi,Y,EDU,Male,,4272,1571,,
SS02,,SS0201,Budi,Y,EDU,total,,9090,3343,,
SS02,,SS0201,Budi,Y,FSC,Adult - Female,,2149,1328,,
SS02,,SS0201,Budi,Y,FSC,Adult - Male,,1010,624,,
SS02,,SS0201,Budi,Y,FSC,Children - Female,,15113,9343,,
SS02,,SS0201,Budi,Y,FSC,Children - Male,,16330,10095,,
SS02,,SS0201,Budi,Y,FSC,Elderly - Female,,12278,7590,,
SS02,,SS0201,Budi,Y,FSC,Elderly - Male,,8930,5520,,
SS02,,SS0201,Budi,Y,FSC,total,,55810,34501,,
SS02,,SS0201,Budi,Y,HEA,Adult - Female - Host Communities,,17,,,
SS02,,SS0201,Budi,Y,HEA,Adult - Female - IDP,,104,104,,
SS02,,SS0201,Budi,Y,HEA,Adult - Female - Refugees,,132,,,
SS02,,SS0201,Budi,Y,HEA,Adult - Female - Returnees,,29,,,
